text,comments_count
"🚇 Буквы «М» готовы к встрече Нового года. 

Мы преобразили главный символ метро к зимнему празднику. Где вы найдете украшенные буквы «М»: 

🔹 У входа перед 19 станциями метро, а также внутри двух вестибюлей появилась светящаяся буква «М» в красной мишуре. Их высота — 2 и 3 м. Больше всего букв у станций БКЛ. 
🔹 Вокруг букв «М» над входом в метро мы разместили неоновые символы праздника: звезды, елочные шары, елки и леденцы. 
🔹 Большой новогодний шар с символом метро мы смонтировали у входа №1 станции метро «Кропоткинская».",3
"Не только спасают жизни, но и дарят улыбки — музыканты МЧС России выступили с праздничным концертом в метро ☺️
  
Торжественное мероприятие посвятили празднованию Дня спасателя. Духовой состав Показательного оркестра МЧС России исполнил классические, маршевые и современные произведения отечественных композиторов, а также песни о подвигах сотрудников ведомства. 
  
Какие мелодии можно было услышать сегодня в аванзале станции «Курская»:    
  
🔹 марш «Старые друзья»   
🔹 вальс «В городском саду»   
🔹 инструментовку «Фантазии на песни группы Кино»   
  
Оркестр МЧС России регулярно радует пассажиров выступлениями в транспорте. Каждый раз перед государственными и профессиональными праздниками музыканты подбирают разные произведения, которые зависят от тематики события.",1
Закончим день на прекрасной ноте — фото от нашего подписчика 😘,14
"Встречайте! Главный Дед Мороз России приехал из Великого Устюга Вологодской области, чтобы поздравить пассажиров метро. 
 
👉 Волшебник начал свой путь от «вестибюля с подарками» на станции «Семеновская» и проехал 15 станций. Вместо волшебных саней он передвигался на новогоднем составе «Москва-2020» на БКЛ. 

✨ Финальной точкой пути стала фотозона Деда Мороза, которую мы установили в переходе между станциями «Мичуринский проспект» Солнцевской линии и БКЛ. 
 
Дед Мороз сфотографировался со всеми желающими, подарил новогоднее настроение и положительные эмоции, а также раздал 1 тыс. сувениров с символом своего родного региона — Вологодской области.",8
"Хвостатых помощников стало больше 🐕

В 2024 году в московском метро прошли обучение более 50 собак-проводников, а с 2014 года — уже более 400. 

Они выполняют важную миссию: помогают незрячим и слабовидящим хозяевам. Для работы в городском транспорте их готовят специалисты Российской школы подготовки собак-проводников ВОС при сопровождении инспекторов ЦОМП.

Кстати, в честь завершения обучения мы выпустили настенные календари с собаками-проводниками.

Купить настенные календари можно в интернет-магазине, на стойках «Живое общение», во флагманских магазина на станциях «Трубная» и «Маяковская», а также на маркетплейсах: 

🔹 Яндекс.Маркет (clck.ru/3FSoLw)
🔹 OZON (clck.ru/3FSoMQ)
🔹 Wildberries (clck.ru/3FSoNK)",2
"Заставка на смартфоне — отражение настроения. У нас оно новогоднее 🎄

Какая стоит у вас? Кидайте скриншот экрана своего гаджета в комментарии.",33
"✨ Наши новогодние поезда продолжают выходить на линии! В метро вы можете увидеть новый тематический поезд, который мы сделали совместно с Комплексом социального развития Москвы. 

Каждый вагон посвятили определенному направлению работы и проектам Комплекса: образованию, медицине, ЗАГСу, ветеринарии и социальной защите москвичей. 

Снаружи поезд украшают праздничные и тематические иллюстрации. А внутри вы сможете прочитать пожелания на 2025 год 😘

Поезд будет курсировать на Арбатско-Покровской линии до 20 февраля.",1
"🎄 Поздравьте близких с Новым годом на стойках «Живое общение» в московском метро! 

Вы сможете отправить письмо или открытку: 

🔹 Близкому человеку в любой регион России.
🔹 Деду Морозу в Великий Устюг.
🔹 Столичному Деду Морозу в Московскую усадьбу.",4
"🚇 Новый рекорд: почти 8,5 миллионов поездок совершили пассажиры в метро 20 декабря.

Самыми популярными станциями стали: 

🔹 «Охотный Ряд» Сокольнической линии
🔹 «Щелковская» Арбатско-Покровской линии
🔹 «Комсомольская» Кольцевой линии
🔹 «ВДНХ» и «Китай-город» Калужско-Рижской линии 
🔹 «Новогиреево» Калининской линии

Метро помогает избежать заторов и без опозданий добраться до нужной точки. Все больше людей предпочитают его личному транспорту для передвижения по Москве.",2
"🎅🏼 Сегодня 100 Дедов Морозов совершили большое путешествие по Московскому транспорту.

Как и в прошлом году, флешмоб начался с зажигательных танцев под новогодние мелодии, которые исполнил оркестр Дедов Морозов на транспортном узле «Нижегородская». Затем добрые волшебники побывали на:

🔹 Сокольнической линии
🔹 Кольцевой линии
🔹 Серпуховско-Тимирязевской линии
🔹 БКЛ 
🔹 МЦК 
🔹 Впервые на МЦД-3

А еще Деды Морозы подарили пассажирам 5 тыс. брендированных леденцов со вкусом клубники и сливок.",3
"🎅🏼 Представьте, что вы заходите в метро, и вас поздравляет Московский Дед Мороз. Для пассажиров Кольцевой линии метро эта сказка стала явью.

Сегодня Дед Мороз на своем праздничном маршруте:
  
🔹 оплатил проезд по биометрии на станции «Комсомольская» Кольцевой линии  
🔹 проехал круг по часовой стрелке
🔹 подарил новогоднее настроение маленьким и взрослым пассажирам 
🔹 раздал более 700 сувениров: елочные игрушки, магниты, значки, браслеты и конфеты
 
Для поездки в метро дизайнеры Московской усадьбы Деда Мороза подобрали классический наряд, который был украшен яркими узорами и традиционными зимними мотивами. В нем волшебника можно увидеть в резиденции вблизи станции метро «Кузьминки».",3
"😉 Завершилась проходка всех тоннелей между будущими станциями «Звенигородская» и «Бульвар Генерала Карбышева» Рублёво-Архангельской линии метро
 
[https://vk.com/wall265870743_1345946|Как рассказал Мэр Москвы Сергей Собянин], щит «Виктория» финишировал в демонтажной камере, проложив правый перегонный тоннель между «Народным Ополчением» и «Бульваром Генерала Карбышева». Он прошёл свыше километра под землëй в сложных гидрогеологических условиях. Работы велись с мая 2024 года.",15
"🚇 История в пути: в метро начал ходить тематический поезд, посвященный императорам России, достижениям и развитию страны.

Мы запустили необычный состав вместе с Российским военно-историческим обществом.

❤️ Пассажиры Арбатско-Покровской линии смогут больше узнать об истории России и о выдающихся государственных деятелях, среди которых Александр Невский, Иван Грозный, Екатерина II.

Поезд будет ходить в течение 6 месяцев.",16
"📸 Готовьтесь делать новые праздничные фотографии! Мы украсили еще 2 станции метро:

🔹 «Семёновская». Здесь вы найдете впечатляющие инсталляции в виде огромных подарочных коробок с яркими бантами. 
🔹 «Краснопресненская». Ее мы украсили гирляндами, которые создают особую атмосферу волшебства. Вечером их мерцающий свет дарит пассажирам уют и тепло.",20
"Более 300 участников, около 4 млн шагов, море улыбок и горящих глаз — все это про квест МЦД. 

Вы разгадывали самые сложные шифры и кроссворды, ломали голову над хитрыми загадками, громко поздравляли пассажиров с наступающим Новым годом и блестяще бросали мяч в кольцо. А «Спойте куплет песни про маленькую елочку»? Легендарно!

Спасибо за ваши улыбки, азарт и за то, что эти дни мы провели вместе. Мы точно знаем — с такой командой пассажиров нам по плечу любые испытания ❤",19
"Более 4,5 тыс. инновационных турникетов со всеми способами оплаты проезда появятся в Московском транспорте!

Благодаря улучшенной конструкции новые устройства позволят повысить пропускную способность станций метро до 40%.

Основные преимущества будущих турникетов:

🔹 возможен проход с двух сторон
🔹 виброотклик для слабовидящих
🔹 световая индикация статуса оплаты",14
"🚇 Золотая награда престижного корейского конкурса досталась нашему поезду метро «Москва-2024»! Его оценили в номинации «Промышленный дизайн» премии Global Design iT Award. 

В конкурсе участвовали 80 заявок из Кореи, США, Индии, Франции, Австрии и других стран. Проекты оценивали по 5 критериям: инновационность, функциональность, экологичность, эстетичность и востребованность на рынке. 

«Москва-2024» уже не раз становилась призером престижных конкурсов:

🔹 В начале года составу вручили серебряную награду международной премии A'Design Award 2024 в Италии в категории «Промышленный дизайн».
🔹 Осенью поезд стал победителем премии «Лучший промышленный дизайн России». Он занял 1-е место в категории «Народное голосование».

Кстати, дизайн салона выбирали москвичи на выставке «Станция Манеж» в 2023 году. Победил вариант в экостиле — бежевая отделка со вставками под дерево.",35
"Более полумиллиарда поездок на МЦД-2.

D2 — круглый отличник! За 5 лет вы совершили на этом диаметре более 500 млн поездок. 
МЦД-2 — это:

🔹 80 км сквозь 30 районов Москвы и Подмосковья на современных поездах «Иволга».
🔹 37 станций, 13 из которых — московские городские вокзалы 
🔹 В 2,6 раза больше поездок внутри Москвы по сравнению с периодом до запуска.

Спасибо, что строите маршруты вместе с нами ❤️",1
"🧊 «Ледяной» поезд вызовет самые теплые чувства у пассажиров метро.

Встречайте новогодний состав на Кольцевой линии!

Внешняя часть вагонов уникального состава напоминает замороженные стены. Украшения поезда — имитация ледяных блоков, сверкающих сосулек и снежинок, а также подсветка — создают атмосферу настоящего зимнего приключения.",31
"Все самое интересное о станциях метро мы рассказали слабослышащим пассажирам на специальной экскурсии.

На бесплатном мероприятии гости узнали о типах станций метро и методах их строительства. Экскурсия проходила в обычном формате, а текст для слабослышащих дублировал сурдопереводчик.

Маршрут прошел через станции:

🔹  «Библиотека им. Ленина»
🔹  «Охотный ряд»
🔹 «Комсомольская»
🔹 «Белорусская» 
🔹 «Маяковская»
🔹 «Александровский сад»
🔹 «Киевская» 

Ранее мы перезапустили проект «Экскурсии в метро», в котором можно выбрать образовательную встречу по интересующей вас теме.",1
"Подарки, елку, лыжи и хорошее настроение можно взять с собой в поездку на МЦД.
Напомним несколько простых правил:

🔹 Размер ручной клади — до 180 см по сумме 3 измерений, вес — до 36 кг.
🔹 Размещайте всё под сиденьем или на полке, чтобы не мешать другим.

Более подробно ознакомиться с правилами перевозок вы можете на официальных сайтах перевозчиков: ЦППК и МТППК.

О правила перевозки спортинвентаря на МЦД и других видах транспорта рассказали здесь. 

Пусть ваша дорога будет такой же волшебной, как и сам Новый год!",0
"Утверждён проект планировки электродепо ""Ильинское"" для обслуживания поездов строящейся Рублёво-Архангельской линии
 
[https://vk.com/wall265870743_1345366|Как рассказал Мэр Москвы Сергей Собянин], депо разместят на участке площадью 19,02 га с северной стороны Новорижского шоссе. К линии проложат соединительную ветку общей протяжённостью порядка 1,2 км.",12
"❤️ Пассажиры вновь могут пользоваться третьим  эскалатором на станции «Алексеевская» Калужско-Рижской линии! Он открылся после капремонта.

А с момента прошлого капитального ремонта прошло уже 12 лет.

Работы включали: 

🔹 демонтаж лестничного полотна и тяговых цепей
🔹 замену отдельных деталей и целых механизмов
🔹 переборку редуктора и обновление входного вала
🔹 ремонт и регулировку поручней
🔹 ремонт входных площадок",23
"🏆 Московское метро и Мосгортранс выиграли в Евразийской премии «Магистраль Awards»!

Награды получили три проекта:

🔹 Беспилотный трамвай — номинация «Лучший проект года».
🔹 Билетная система и цифровые сервисы московского метро — номинация «Лидер цифровой логистики».
🔹 Внедрение электронных путевых листов на площадках Мосгортранса — номинация «Успешный старт».

Эти награды стали очередным подтверждением высокого качества проектов Московского транспорта на международном уровне.

«Магистраль Awards» — это масштабная премия, на которой отмечают самые значимые проекты в области транспорта и логистики в странах Евразийского экономического союза и Центральной Азии.",3
"🎄 Больше праздника! Мы украсили вход станции метро «Красные ворота» Сокольнической линии и эскалаторную галерею на Воробьевых горах!

Что мы сделали:

🔹 Знаменитую арку у входа №1 станции метро «Красные ворота» украсили 30 разноцветными драже, новогодними шарами и яркими светодиодными линиями.
🔹 У эскалаторной галереи на Воробьевых горах разместили инсталляцию в виде еловых веток. Ее высота составляет 4 м, а длина — более 10 м.
🔹 На фасаде галереи установили брендированную вывеску с еловыми и неоновыми элементами. На ней разместили поздравление для пассажиров.
🔹 Под потолком установили 140 подвесных подарков и елочных шаров. Вы можете наслаждаться ими всю поездку на эскалаторе!",9
"Зимняя сказка в деловом центре Москвы 🪄 
 
Мы украсили пешеходную зону «Москва-Сити» и установили здесь зимние елки и инсталляции. Например, снеговика с яркой светящейся буквой «М» и «промышленную» новогоднюю елку. Они радуют прохожих своим сиянием и оригинальным дизайном.  
 
Вы найдете новогодние украшения возле выходов №1 и 2 станции метро «Деловой центр». Здесь и инсталляция «Твой город — твое дело», и шар «Молодежи Москвы», и красочные елки. Например, елки столичного Департамента ЖКХ, Гаража особого назначения ФСО России, а также Кировской области. 

Всего вы увидите 8 елок и креативных инсталляций, которые установили в рамках фестиваля «Зима в Москве».
 
Приходите с друзьями и близкими, делитесь радостными моментами и создавайте приятные воспоминания 😍",7
"До конца года нужно столько сделать: нарядить елку, выбрать наряд и... прийти на 2-й этап квеста МЦД, который вы так ждали! Встречаемся 21 декабря с 11:00 до 15:00 на первой точке!

👉 Загадка о месте старта долго ждала вас:

Это место открылось 6 лет назад, 21 декабря, чтобы познакомить пассажиров с новым видом транспорта еще до его запуска.

Проведем квест в особую дату: 5 лет и 1 месяц МЦД. Да, мы тоже не знали, что такие даты празднуют, но почему бы и нет? 

Главное — успеть добраться до последней точки до 21 декабря 18:00, будет интересно!",9
"Пора планировать свадьбу на станции метро «Маяковская» или Северном речном вокзале!

Как рассказал Максим Ликсутов, в 2025 году для регистрации брака на станции метро «Маяковская будут доступны 9 дат, на Северном речном вокзале — 17 дат.

Подать заявление на проведение регистрации в обеих локациях можно лично во Дворце бракосочетания №1, а на Северном речном вокзале — еще и онлайн.",11
"Новогодние хиты в метро!

Проекты «Музыка в метро» и «Зима в Москве» объединились, чтобы порадовать пассажиров новогодними композициями:

🔹 Коллектив FireStrings исполнит «Вальс цветов» Петра Чайковского, «Вальс» из «Иронии судьбы», «Зима» Антонио Вивальди. Музыканты выступят в костюмах Деда Мороза, Снегурочки, зайцев и мишек.
🔹 Коллектив «L’OverDrive» будет играть для пассажиров на скрипке и виолончели инструментальную музыку. В том числе популярные новогодние песни: «Звенит январская вьюга» и «Где-то на белом свете». Музыканты выступят в ярких новогодних головных уборах.",4
"В такую погоду особенно актуально. Признавайтесь, какой вид транспорта выбираете?",22
"🎉 Подводим итоги [https://vk.com/wall-70228347_313604|конкурса]:

[id133564881|Мария Кытманова] 
[id687283395|Валентина Малеташкина] 
[id157230910|Екатерина Густова] 
[id21677537|Константин Густов] 
[id521929861|Артём Жарков] 
[id494487661|Алексей Жижков] 
[id720868092|Алексей Мкртычян] 
[id842262536|Ольга Вишнякова] 
[id521634370|Мария Иванова] 
[id736944068|Константин Соколов] 

Поздравляем! Откройте свои личные сообщения, чтобы наш менеджер смог с вами связаться.",8
"❄ Зимняя палитра в Московском метро.

Зимняя тематика стала основой для новой выставки проекта «Искусство в метро». Художники передали праздничную атмосферу наступающего Нового года в разных техниках — от набросков маркерами до ярких зарисовок гуашью, масштабных картин маслом на холстах и даже текстильных изображений.

Совместная экспозиция вместе с Объединением «Выставочные залы Москвы» расположена в переходе между станциями «Ленинский проспект» Калужско-Рижской линии и Площадь Гагарина МЦК.

Выставку можно посетить до 15 января включительно.",0
"⚡ Новый рекорд Московского метрополитена: более 8,3 миллионов поездок за день. Это самый большой показатель за более чем 4 года!

Показатель на 12 декабря 2024 года на 5,8% выше, чем за тот же день прошлого года.

Самыми востребованными линиями стали:

🔹 БКЛ
🔹 Кольцевая 
🔹 Таганско-Краснопресненская 
🔹 Калужско-Рижская 
🔹 Замоскворецкая",10
"Планируем объединить строящееся электродепо «Южное» и действующее депо «Братеево» в многофункциональный комплекс
 
[https://vk.com/wall265870743_1344248|Как рассказал Мэр Москвы Сергей Собянин], на одной территории разместятся два предприятия, где поезда метро будут останавливаться между рейсами, планово обслуживаться и проходить полный цикл капитального ремонта.",4
"🎄 Творчество, наука и яркие эмоции! Подводим итоги новогодних мастер-классов.

Как рассказал Максим Ликсутов, 16 и 17 декабря вместе с ведущими университетами страны — МГУ и [club99458240|РУДН] — провели новогодние мастер-классы в переходе между станциями «Мичуринский проспект» БКЛ и Солнцевской линии.

Более 200 пассажиров приняли участие в мастер-классах: они создали праздничные открытки, узнали о выращивании рождественских растений, а также поучаствовали в увлекательных квестах и научных экспериментах.

Делимся работами, которые получились у наших участников!",7
"🛤 В конце 2025 года на севере столицы откроют новый Московский городской вокзал Петровско-Разумовская D1.

Несколько интересных фактов:

🔹 Петровско-Разумовская станет одним из крупнейших транспортных хабов на севере Москвы.
🔹 Здесь появится новая пересадка на Серпуховско-Тимирязевскую и Люблинско-Дмитровскую линии метро, пересадка между МЦД-1 и МЦД-3, а также на наземный городской транспорт.

После открытия городского вокзала путь до центра Москвы или других важных точек станет гораздо проще и быстрее. Особенно для жителей районов Бутырский, Тимирязевский и Марфино, где проживают почти 200 тыс. человек. К 2030 году городским вокзалом Петровско-Разумовская D1 будут пользоваться 11 тыс. человек, для которых он станет важной частью повседневных поездок.",13
"🍊 Зимние праздники уже стучатся в дверь, и в воздухе витает запах мандаринок. А мы запустили новогодний «Номерной» состав!

Поезд оформили в фиолетово-синих тонах. Нарисовали большую нарядную елку и Деда Мороза с подарками. Внутри поезда также создали праздничную атмосферу: вы можете увидеть хвойные украшения, елочные игрушки и много-много гирлянд. 

Поезд курсирует на Замоскворецкой линии.",49
