processed_text_stemmed,comments_count
нов тематическ един посвят комплексн платформ управлен многоквартирн дом электрон дом платформ помога москвич провод общ собран собственник опрос сред жител конструктивн обща сосед управля организац воврем получа важн достоверн информац дом эффективн управля сво жил нов тематическ билет подчеркива вниман город развит цифров сервис куп тематическ билет един касс автомат продаж билет станц метр,0.0
эт любл росс приглаша нов выставк мал больш родин увид природ росс столов гор вершин эльбрус озер узункел алта мыс любв жител разн уголк стран род деятельн многообраз животн собак кошек тел дик лис олен откр экспозиц вмест студенческ координацион совет общероссийск профсоюз образован размест экспозиц переход станц ленинск проспект калужск рижск лин площад гагарин мцк посет ноябр включительн приход,2.0
перв росс придума метр москв эт случ начал век российск инженер петр балинск евген кнорр представ перв росс план строительств метрополит москв проект включа пут котор проход эстакад числ красн площад тоннел инженер предлож залож станц постро центральн вокза кремл смел ид встрет холодн московск археологическ обществ сочл проект дерзк посягательств историческ облик столиц итог проект официальн призна преждевремен несмотр отказ петр балинск получ государствен компенсац сво труд инжнер инноватор увидел сво детищ умер год париж однак ид пропа дар год нача стро московск метрополит,2.0
ноябр значительн измен движен мцк возможн польз метр мцд наземн транспорт ростокин панфиловск северн участок измен пут отправлен поезд помоч найт нужн пут кажд станц размест плакат времен навигац пожалуйст обраща вниман помогут сориентирова мест такж станц будут организова дежурств сотрудник котор помогут возникновен вопрос интервал движен будут увелич север панфиловск ростокин минут остальн кольц минут поезд прот часов стрелк останов станц ростокин коптев балтийск уеха эт станц след белокамен ростокин лихобор коптев балтийск дал пересажива поезд обратн сторон приеха указа станц проезжа соседн ботаническ сад стрешнев дал пересажива поезд обратн сторон част поезд следова укорочен маршрут поездок город прос возможн пользова метр мцд наземн транспорт период изменен вмест оа ржд департамент строительств транспортн инженерн инфраструктур город москв провед работ возвращен путев инфраструктур мцк прежн положен строительств северн участк московск скоростн диаметр работ предсто масштабн влия движен поезд будн большинств тороп работ выполн выходн буд признательн подел информац знаком,6.0
метр москв главн помощник ваш смартфон нача год приложен метр москв установ млн эт аналогичн период прошл год метр москв куп билет транспортн карт обращен касс замороз годов абонемент дне привяза карт москвич смотрет истор поездок покупа льготн абонемент выпуст виртуальн тройк подключ сервис оплат биометр привяза банковск карт оплачива ран совершен поездк смотрет истор скачива приложен метр москв,13.0
московск транспорт появ турникет нов поколен след год обновлен оборудован проход установ станц метр главн преимуществ нов турникет разработа произвел москв считывател размест интуитивн понятн оплат поездк практическ мгновен турникет подключ оплат биометр камер распознаван лиц органичн встро конструкц цветов подсветк покажет прошл оплат проезд виброотклик поможет слабовидя пассажир легч поня статус транзакц,125.0
направлен открыт тройк январ сентябр год пассажир оплат московск транспортн карт млн поездок мцд эт аналогичн период прошл год основн преимуществ тройк быстр турникет валидатор считыва карт нескольк секунд выгодн билет кошелек действ бесплатн пересадк метр мцк друг диаметр течен мин некотор маршрут течен мин технологичн пополн карт онлайн например приложен метр москв забыва прикладыва карт вход выход станц,18.0
заворажива геометр московск метрополит собра коллекц обо смартфон сам кинематографичн вид метр котор год отмеча лет глубин перспектив идеальн пропорц созда ощущен футуристичн пространств врем течет инач нрав так эстетик,14.0
нов тематическ поезд метр соверш путешеств легк планет республик карел вагон состав пассажир узна интересн факт регион увид красот карельск природ муз заповедник киж остр вала горн парк рускеа поезд курсирова арбатск покровск лин течен месяц,16.0
совершенствова сист управлен метр смотр программ хроник московск метр лет выпуск врем отслежива движен поезд улучша сист управлен как рол игра специальн устройств предк современ компьютер систем соверш настоя переворот управлен поезд наш дни откуд сегодн контролир процесс выпуск проект доступн просмотр наш плейлист,0.0
