Model,MAE,R2,Task ID,Model ID
Ridge,20.33272099929313,0.39109922972863154,bda068564e9b4704ad67fcc995c22eae,67d0b2f025184b3f81df1b89d10db356
RandomForest,20.022237714954375,0.3060220857733945,720d24f53d8e48f1bb771bc1fe250005,2c651e7418ac4fc28cabfcffda2ea7e2
NeuralNetwork,19.201399219341766,0.3048999343643287,2292ea5b03e743caad240c22413496ac,4a2d200d07b4425e94b2be2e6fcb41bf
