experiment,MAE,MSE,RMSE,R2
Ridge_Baseline,20.34402704394848,709.7416103777946,26.640976152870124,0.3913497340829347
Ridge_Extended,20.53152844176054,723.8593017009114,26.904633461560323,0.3792428821634366
Neural_Network_SVD,19.77463323909294,752.8672596522102,27.438426697830366,0.35436664401900686
